Movie Report
-------------
FrameFrame #    Frame Bytes    Total Bytes    Page
  183             9         421490          183
  184             9         421499          184
  185           115         421614          185
  186         17263         438877          186
  187            13         438890          187
  188            13         438903          188
  189            13         438916          189
  190            13         438929          190
  191            13         438942          191
  192            13         438955          192
  193            13         438968          193
  194            13         438981          194
  195            13         438994          195
  196            13         439007          196
  197            13         439020          197
  198            13         439033          198
  199            13         439046          199
  200          3551         442597          200
  201            22         442619          201
  202            22         442641          202
  203            22         442663          203
  204            23         442686          204
  205            23         442709          205
  206            23         442732          206
  207            23         442755          207
  208            23         442778          208
  209            23         442801          209
  210            23         442824          210
  211            23         442847          211
  212            23         442870          212
  213            23         442893          213
  214            27         442920          214
  215            23         442943          215
  216            64         443007          216
  217            23         443030          217
  218            23         443053          218
  219           156         443209          219
  220            22         443231          220
  221            22         443253          221
  222            22         443275          222
  223            22         443297          223
  224            23         443320          224
  225            66         443386          225
  226            66         443452          226
  227            67         443519          227
  228            69         443588          228
  229            71         443659          229
  230            73         443732          230
  231            74         443806          231
  232            76         443882          232
  233            78         443960          233
  234            80         444040          234
  235            81         444121          235
  236            83         444204          236
  237            86         444290          237
  238            88         444378          238
  239            89         444467          239
  240            91         444558          240
  241            93         444651          241
  242            85         444736          242
  243            86         444822          243
  244            88         444910          244
  245            90         445000          245
  246           127         445127          246
  247            82         445209          247
  248            84         445293          248
  249            86         445379          249
  250           544         445923          250
  251         67393         513316        Image Gallery
  252         62788         576104          2
  253         39350         615454          3
  254         51686         667140          4
  255         39509         706649          5
  256         41582         748231          6
  257         15170         763401          7
  258             2         763403          8

Page                       Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Main Scene                      341          2168
Image Gallery                  2316            39

Embedded Objects               1072             0

Page                       Symbol Bytes    Text Bytes
-----------------------    ------------    ----------
Symbol 175                        0             0
Symbol 174                        0             0
Symbol 173                        0             0
Tween 3                           0             0
Tween 1                           0             0
Home button                      77             0
Tween 18                         85             0
Image Gallery animated sphere        0             0
Image Gallery                   129            53
Fashion News                      0            51
Tween 14                          0             0
Symbol 92                        71             0
Symbol 91                       259             0
Symbol 90                       304             0
Symbol 89                       266             0
Symbol 88                       123             0
Symbol 87                       261             0
Symbol 86                        42             0
Symbol 85                       187             0
Symbol 84                       165             0
Symbol 83                       102             0
Symbol 82                       137             0
Symbol 81                       160             0
Symbol 80                       199             0
Symbol 79                       160             0
Symbol 78                       146             0
Symbol 77                       142             0
Symbol 76                       113             0
Symbol 75                       116             0
Symbol 74                       122             0
Symbol 73                       137             0
Symbol 72                       128             0
Symbol 71                       174             0
Symbol 70                       135             0
Symbol 69                       131             0
Symbol 68                       186             0
Tween 12                          0             0
Rose Fashion World                0           416
basa right large                123             0
basa right (small)                0             0
Tween 4                          86             0
Tween 2                         122             0
gel Left                        394             0
gel Right                        69             0

Bitmap                     Compressed    Compression
-----------------------    ----------  --------  -----------
00038_L.JPG                    15091      681984   Imported JPEG00081_L.JPG                    19247      681984   00012_L.JPG                    22192      672660   00053_L.JPG                    17764      681984   00052_L.JPG                    21630      681984   00001_L.JPG                    29934      677988   00020_L.JPG                    21636      676656   00074_L.JPG                    24192      676656   00003_L.JPG                    15042      676656   black classic.JPG              35490      934440   black.JPG                      27025      673992   00036_L.JPG                    32022      934440   =80
00006_L.JPG                    32159      934440   abstract90.gif                 17158       30200   
Arkadius2002.gif               24440       44880   
CLASSIC-BLACK.gif              18572      138528   
abstract.gif                   16758       30000   

Tweened Shapes: 1959 bytes

Event Sounds: 11KHz Mono 16 kbps MP3

Sound name                 Bytes        Format    
-----------------------    ---------    ----------
Smack                         951        11KHz Mono 16 kbps MP3
bikini[1].wav              279671        11KHz Mono 16 kbps MP3


Sound name                 Bytes        Format    
-----------------------    ---------    ----------
Arial                        2091         DFGHIKNZabdeghiklmnorsuwy©
ShelleyAndante BT            4213         !.AFORWabcdefhilmnorstuwy
